baitID	intscore	rank	SIP	MKSpecific
283630	42.0474638796657	7184	0	0
283644	194.926594254508	12314	0	0
283658	22.8313272271407	4978	0	0
284053	58.5018120136212	8366	0	0
284087	6.81039773660339	1743	0	0
284184	105.097428535785	10438	0	0
284211	683.218486389003	14172	1	0
284248	11.3020102552938	2685	0	0
284252	92.2145367874662	9985	0	0
284333	33.6492492759497	6288	0	0
284337	13.2336535641486	3353	0	0
284340	12.8993194128928	3266	0	0
284374	8.54498580269829	2141	0	0
284377	28.9642404792789	5787	0	0
284385	29.2991649854941	5819	0	0
284386	49.612805629909	7782	0	0
284394	41.799643443745	7165	0	0
284398	11.8675732206084	2914	0	0
284407	12.8544715736093	3255	0	0
284408	97.6422080988864	10187	0	0
284409	372.37833514654	13656	1	0
284410	234.50258170507	12767	0	0
284411	329.756756053768	13483	1	0
284412	176.308911998984	12031	0	0
284415	101.575118329293	10328	0	0
284436	60.5533638547068	8504	0	0
284447	135.526811980813	11269	0	0
284448	240.151502641622	12832	0	0
284462	275.20470551778	13120	1	1
284470	81.0536019785996	9571	0	0
284485	5.17710915870318	311	0	0
284496	153.134344244223	11613	0	0
284534	24.6413958612107	5213	0	0
284550	18.5759929165327	4328	0	0
284553	6.51085810740145	1601	0	0
284587	24.6579986344479	5216	0	0
284588	89.6450213138144	9902	0	0
284597	161.578227803962	11761	0	0
284602	271.028736477191	13090	1	1
284647	47.0484740195539	7571	0	0
284686	208.67061255384	12497	0	0
284749	122.711112660038	10942	0	0
284776	85.0199830302064	9738	0	0
284779	60.9867641832177	8525	0	0
284788	95.0834834157554	10094	0	0
284799	182.240939525028	12100	0	0
284937	30.1575837555331	5908	0	0
284938	21.9061987709268	4835	0	0
284969	30.193224418756	5910	0	0
285023	5.04065880019211	59	0	0
285044	363.272901008615	13625	1	1
285049	91.770744094497	9972	0	0
285075	245.539760445144	12883	0	0
285076	39.4250147019759	6939	0	0
285123	5.49323742623372	782	0	0
285163	89.8429491905048	9907	0	0
285178	32.3412350274991	6149	0	0
285185	7.58708262411588	1971	0	0
285235	98.3669024550787	10210	0	0
285236	78.3526171439094	9446	0	0
285254	89.5477314711228	9898	0	0
285273	23.5575983194423	5077	0	0
285274	123.14525606338	10953	0	0
285298	17.4068680261064	4076	0	0
285307	274.378006583294	13112	1	0
285412	139.932549921378	11358	0	0
285426	82.6609968335169	9643	0	0
285779	118.633477956385	10840	0	0
285831	5.68689094030065	991	0	0
285850	92.3954429315854	9995	0	0
285914	5.06983575095045	109	0	0
285984	11.9267874073981	2945	0	0
285987	197.174315550269	12345	0	0
285994	18.2069263861435	4237	0	0
286003	5.65559855577623	960	0	0
286011	33.3165777887527	6254	0	0
286012	119.626796208316	10864	0	0
286018	54.5357422427884	8113	0	0
286027	118.131465529041	10819	0	0
286029	70.9326022079681	9107	0	0
286060	25.9722977616384	5386	0	0
286115	106.090049690975	10478	0	0
286120	64.7847652286828	8768	0	0
286149	1046.30021488307	14312	1	0
286160	6.03763359271072	1291	0	0
286162	20.8636675707285	4677	0	0
286166	80.1107289562391	9529	0	0
286219	56.247205731191	8232	0	0
286224	46.1094062336083	7505	0	0
286225	48.626933996262	7706	0	0
286236	5.39721553234533	641	0	0
286239	36.6612008503732	6643	0	0
286308	147.06003809564	11504	0	0
286318	11.4400050359834	2742	0	0
286323	7.0147584915854	1824	0	0
286340	127.945460537472	11067	0	0
286345	76.8717131257069	9375	0	0
286426	47.014230143153	7564	0	0
286449	81.6690448997784	9601	0	0
286450	32.2088143761446	6135	0	0
286455	124.441837821307	10989	0	0
286516	162.955339013039	11789	0	0
286520	11.6586696339877	2833	0	0
286523	16.6347454066357	3896	0	0
286525	24.4156895506771	5184	0	0
286625	7.42726013492089	1934	0	0
286629	5.93823240247512	1223	0	0
286697	6.47845451070811	1584	0	0
286820	16.947293742793	3966	0	0
286862	50.8823259118091	7859	0	0
286872	41.341231086039	7120	0	0
286875	5.02869334374333	45	0	0
286881	7.59344041624838	1973	0	0
286891	5.09321804941874	156	0	0
286911	11.5122990479373	2765	0	0
286939	22.4148010388363	4913	0	0
286942	40.4891347450632	7040	0	0
286947	22.1594396169444	4875	0	0
286982	38.9390468435035	6891	0	0
286999	16.5063444269671	3870	0	0
287002	6.60412462726625	1645	0	0
287013	17.0318678479287	3989	0	0
287019	12.6232792179499	3203	0	0
287021	125.089960320427	11003	0	0
287044	17.7821100505923	4151	0	0
287045	5.29763811181491	498	0	0
287080	5.65899409551826	966	0	0
287088	16.9594956114892	3973	0	0
287093	44.1524494677939	7340	0	0
287096	28.6287617372604	5740	0	0
287106	61.9303800893297	8587	0	0
287110	144.351419097488	11448	0	0
287113	172.380885254368	11968	0	0
287124	19.6793512540136	4518	0	0
287130	312.503565310365	13369	1	0
287132	37.0813947355303	6687	0	0
287141	182.941160560827	12114	0	0
287147	44.1709055902999	7343	0	0
287167	237.693855785582	12804	0	0
287176	129.361972074648	11115	0	0
287183	130.927781191348	11157	0	0
287189	199.800971913969	12385	0	0
287197	69.8353953762469	9046	0	0
287228	5.30780368934838	514	0	0
287288	10.3155599930906	2323	0	0
287298	35.5100472724312	6516	0	0
287300	11.6675482234574	2837	0	0
287304	233.490340789356	12755	0	0
287310	5.13280359757201	234	0	0
287322	19.668813162863	4516	0	0
287327	225.50964916238	12674	0	0
287335	285.958733861159	13193	1	0
287340	168.230991546058	11895	0	0
287349	36.6358154127793	6642	0	0
287355	75.2218860565353	9295	0	0
287356	11.5602511825016	2789	0	0
287360	35.0983901064093	6470	0	0
287362	314.090493673426	13378	1	1
287370	11.1538699797302	2634	0	0
287375	10.7549495740686	2463	0	0
287376	28.2514319945368	5694	0	0
287398	11.324489204906	2699	0	0
287407	6.63924581504758	1667	0	0
287410	21.8544846721088	4826	0	0
287431	5.32373739710986	534	0	0
287434	6.22921987531873	1424	0	0
287438	49.9637892044652	7809	0	0
287439	94.179162229339	10053	0	0
287442	151.607795405306	11580	0	0
287452	76.1656674947788	9342	0	0
287456	166.329993434979	11866	0	0
287462	22.3655433694098	4907	0	0
287464	134.782164741463	11247	0	0
287465	60.260988518303	8484	0	0
287470	149.961322106999	11558	0	0
287474	87.3774278697006	9807	0	0
287484	6.1355967694385	1363	0	0
287487	26.0819043921427	5397	0	0
287488	68.2102027193352	8960	0	0
